Rama de actividad CNAE 2009	Sexo	Unidad	Periodo	Total
Total	Hombres	Porcentaje	2009T2	100,0
Total	Hombres	Porcentaje	2009T1	100,0
Total	Hombres	Porcentaje	2008T4	100,0
Total	Hombres	Porcentaje	2008T3	100,0
Total	Hombres	Porcentaje	2008T2	100,0
Total	Hombres	Porcentaje	2008T1	100,0
Total	Mujeres	Valor absoluto	2021T4	9.354,1
Total	Mujeres	Valor absoluto	2021T3	9.248,5
Total	Mujeres	Valor absoluto	2021T2	9.063,1
Total	Mujeres	Valor absoluto	2021T1	8.821,7
Total	Mujeres	Valor absoluto	2020T4	8.874,5
Total	Mujeres	Valor absoluto	2020T3	8.722,7
Total	Mujeres	Valor absoluto	2020T2	8.473,8
Total	Mujeres	Valor absoluto	2020T1	9.020,0
Total	Mujeres	Valor absoluto	2019T4	9.158,3
Total	Mujeres	Valor absoluto	2019T3	9.049,8
Total	Mujeres	Valor absoluto	2019T2	9.054,7
Total	Mujeres	Valor absoluto	2019T1	8.872,0
Total	Mujeres	Valor absoluto	2018T4	8.911,5
Total	Mujeres	Valor absoluto	2018T3	8.865,6
Total	Mujeres	Valor absoluto	2018T2	8.815,7
Total	Mujeres	Valor absoluto	2018T1	8.590,2
Total	Mujeres	Valor absoluto	2017T4	8.659,1
Total	Mujeres	Valor absoluto	2017T3	8.628,7
Total	Mujeres	Valor absoluto	2017T2	8.556,4
Total	Mujeres	Valor absoluto	2017T1	8.389,8
Total	Mujeres	Valor absoluto	2016T4	8.436,2
Total	Mujeres	Valor absoluto	2016T3	8.414,8
Total	Mujeres	Valor absoluto	2016T2	8.329,9
Total	Mujeres	Valor absoluto	2016T1	8.182,2
Total	Mujeres	Valor absoluto	2015T4	8.230,8
Total	Mujeres	Valor absoluto	2015T3	8.152,2
Total	Mujeres	Valor absoluto	2015T2	8.105,2
Total	Mujeres	Valor absoluto	2015T1	7.934,6
Total	Mujeres	Valor absoluto	2014T4	8.010,8
Total	Mujeres	Valor absoluto	2014T3	7.898,1
Total	Mujeres	Valor absoluto	2014T2	7.912,1
Total	Mujeres	Valor absoluto	2014T1	7.785,0
Total	Mujeres	Valor absoluto	2013T4	7.828,4
Total	Mujeres	Valor absoluto	2013T3	7.845,2
Total	Mujeres	Valor absoluto	2013T2	7.827,4
Total	Mujeres	Valor absoluto	2013T1	7.791,9
Total	Mujeres	Valor absoluto	2012T4	7.903,7
Total	Mujeres	Valor absoluto	2012T3	8.021,9
Total	Mujeres	Valor absoluto	2012T2	8.095,4
Total	Mujeres	Valor absoluto	2012T1	8.077,1
Total	Mujeres	Valor absoluto	2011T4	8.172,8
Total	Mujeres	Valor absoluto	2011T3	8.280,4
Total	Mujeres	Valor absoluto	2011T2	8.392,9
Total	Mujeres	Valor absoluto	2011T1	8.229,7
Total	Mujeres	Valor absoluto	2010T4	8.333,8
Total	Mujeres	Valor absoluto	2010T3	8.304,9
Total	Mujeres	Valor absoluto	2010T2	8.280,9
Total	Mujeres	Valor absoluto	2010T1	8.283,5
Total	Mujeres	Valor absoluto	2009T4	8.339,7
Total	Mujeres	Valor absoluto	2009T3	8.393,2
Total	Mujeres	Valor absoluto	2009T2	8.377,2
Total	Mujeres	Valor absoluto	2009T1	8.385,2
Total	Mujeres	Valor absoluto	2008T4	8.640,4
Total	Mujeres	Valor absoluto	2008T3	8.714,9
Total	Mujeres	Valor absoluto	2008T2	8.696,8
Total	Mujeres	Valor absoluto	2008T1	8.605,9
Total	Mujeres	Porcentaje	2021T4	100,0
Total	Mujeres	Porcentaje	2021T3	100,0
Total	Mujeres	Porcentaje	2021T2	100,0
Total	Mujeres	Porcentaje	2021T1	100,0
Total	Mujeres	Porcentaje	2020T4	100,0
Total	Mujeres	Porcentaje	2020T3	100,0
Total	Mujeres	Porcentaje	2020T2	100,0
Total	Mujeres	Porcentaje	2020T1	100,0
Total	Mujeres	Porcentaje	2019T4	100,0
Total	Mujeres	Porcentaje	2019T3	100,0
Total	Mujeres	Porcentaje	2019T2	100,0
Total	Mujeres	Porcentaje	2019T1	100,0
Total	Mujeres	Porcentaje	2018T4	100,0
Total	Mujeres	Porcentaje	2018T3	100,0
Total	Mujeres	Porcentaje	2018T2	100,0
Total	Mujeres	Porcentaje	2018T1	100,0
Total	Mujeres	Porcentaje	2017T4	100,0
Total	Mujeres	Porcentaje	2017T3	100,0
Total	Mujeres	Porcentaje	2017T2	100,0
Total	Mujeres	Porcentaje	2017T1	100,0
Total	Mujeres	Porcentaje	2016T4	100,0
Total	Mujeres	Porcentaje	2016T3	100,0
Total	Mujeres	Porcentaje	2016T2	100,0
Total	Mujeres	Porcentaje	2016T1	100,0
Total	Mujeres	Porcentaje	2015T4	100,0
Total	Mujeres	Porcentaje	2015T3	100,0
Total	Mujeres	Porcentaje	2015T2	100,0
Total	Mujeres	Porcentaje	2015T1	100,0
Total	Mujeres	Porcentaje	2014T4	100,0
Total	Mujeres	Porcentaje	2014T3	100,0
Total	Mujeres	Porcentaje	2014T2	100,0
Total	Mujeres	Porcentaje	2014T1	100,0
Total	Mujeres	Porcentaje	2013T4	100,0
Total	Mujeres	Porcentaje	2013T3	100,0
Total	Mujeres	Porcentaje	2013T2	100,0
Total	Mujeres	Porcentaje	2013T1	100,0
Total	Mujeres	Porcentaje	2012T4	100,0
Total	Mujeres	Porcentaje	2012T3	100,0
Total	Mujeres	Porcentaje	2012T2	100,0
Total	Mujeres	Porcentaje	2012T1	100,0
Total	Mujeres	Porcentaje	2011T4	100,0
Total	Mujeres	Porcentaje	2011T3	100,0
Total	Mujeres	Porcentaje	2011T2	100,0
Total	Mujeres	Porcentaje	2011T1	100,0
Total	Mujeres	Porcentaje	2010T4	100,0
Total	Mujeres	Porcentaje	2010T3	100,0
Total	Mujeres	Porcentaje	2010T2	100,0
Total	Mujeres	Porcentaje	2010T1	100,0
Total	Mujeres	Porcentaje	2009T4	100,0
Total	Mujeres	Porcentaje	2009T3	100,0
Total	Mujeres	Porcentaje	2009T2	100,0
Total	Mujeres	Porcentaje	2009T1	100,0
Total	Mujeres	Porcentaje	2008T4	100,0
Total	Mujeres	Porcentaje	2008T3	100,0
Total	Mujeres	Porcentaje	2008T2	100,0
Total	Mujeres	Porcentaje	2008T1	100,0
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2021T4	840,1
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2021T3	761,5
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2021T2	811,1
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2021T1	797,9
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2020T4	782,1
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2020T3	731,1
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2020T2	763,4
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2020T1	784,8
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2019T4	793,9
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2019T3	746,2
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2019T2	809,3
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2019T1	839,7
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2018T4	825,6
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2018T3	768,4
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2018T2	822,5
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2018T1	833,8
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2017T4	820,7
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2017T3	777,0
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2017T2	832,6
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2017T1	847,7
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2016T4	816,7
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2016T3	743,8
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2016T2	760,2
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2016T1	777,4
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2015T4	779,7
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2015T3	709,5
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2015T2	740,4
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2015T1	717,4
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2014T4	728,9
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2014T3	666,1
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2014T2	739,3
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2014T1	809,1
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2013T4	777,3
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2013T3	699,4
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2013T2	753,1
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2013T1	716,5
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2012T4	774,0
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2012T3	714,2
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2012T2	722,3
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2012T1	763,0
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2011T4	802,3
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2011T3	704,8
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2011T2	735,9
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2011T1	778,0
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2010T4	796,0
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2010T3	747,8
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2010T2	772,8
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2010T1	827,7
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2009T4	778,6
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2009T3	740,6
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2009T2	790,8
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2009T1	842,5
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2008T4	813,2
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2008T3	798,8
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2008T2	830,6
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2008T1	870,1
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2021T4	4,2
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2021T3	3,8
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2021T2	4,1
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2021T1	4,2
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2020T4	4,0
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2020T3	3,8
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2020T2	4,1
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2020T1	4,0
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2019T4	4,0
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2019T3	3,8
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2019T2	4,1
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2019T1	4,3
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2018T4	4,2
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2018T3	3,9
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2018T2	4,3
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2018T1	4,4
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2017T4	4,3
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2017T3	4,1
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2017T2	4,4
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2017T1	4,6
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2016T4	4,4
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2016T3	4,0
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2016T2	4,2
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2016T1	4,3
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2015T4	4,3
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2015T3	3,9
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2015T2	4,1
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2015T1	4,1
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2014T4	4,1
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2014T3	3,8
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2014T2	4,3
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2014T1	4,8
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2013T4	4,5
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2013T3	4,1
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2013T2	4,4
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2013T1	4,2
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2012T4	4,5
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2012T3	4,0
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2012T2	4,1
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2012T1	4,3
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2011T4	4,4
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2011T3	3,8
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2011T2	4,0
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2011T1	4,2
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2010T4	4,3
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2010T3	4,0
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2010T2	4,1
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2010T1	4,4
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2009T4	4,1
