Sexo	Comunidades y Ciudades Autónomas	Edad	Periodo	Total
Ambos sexos	Total Nacional	25 y más años	2007T3	60,10
Ambos sexos	Total Nacional	25 y más años	2007T2	60,20
Ambos sexos	Total Nacional	25 y más años	2007T1	60,05
Ambos sexos	Total Nacional	25 y más años	2006T4	59,85
Ambos sexos	Total Nacional	25 y más años	2006T3	59,33
Ambos sexos	Total Nacional	25 y más años	2006T2	59,50
Ambos sexos	Total Nacional	25 y más años	2006T1	59,32
Ambos sexos	Total Nacional	25 y más años	2005T4	59,00
Ambos sexos	Total Nacional	25 y más años	2005T3	58,36
Ambos sexos	Total Nacional	25 y más años	2005T2	58,71
Ambos sexos	Total Nacional	25 y más años	2005T1	58,37
Ambos sexos	Total Nacional	25 y más años	2004T4	58,37
Ambos sexos	Total Nacional	25 y más años	2004T3	57,83
Ambos sexos	Total Nacional	25 y más años	2004T2	57,75
Ambos sexos	Total Nacional	25 y más años	2004T1	57,50
Ambos sexos	Total Nacional	25 y más años	2003T4	57,47
Ambos sexos	Total Nacional	25 y más años	2003T3	57,06
Ambos sexos	Total Nacional	25 y más años	2003T2	56,86
Ambos sexos	Total Nacional	25 y más años	2003T1	56,57
Ambos sexos	Total Nacional	25 y más años	2002T4	56,14
Ambos sexos	Total Nacional	25 y más años	2002T3	55,86
Ambos sexos	Total Nacional	25 y más años	2002T2	55,70
Ambos sexos	Total Nacional	25 y más años	2002T1	55,26
Ambos sexos	Total Nacional	De 16 a 19 años	2021T4	12,39
Ambos sexos	Total Nacional	De 16 a 19 años	2021T3	16,52
Ambos sexos	Total Nacional	De 16 a 19 años	2021T2	13,87
Ambos sexos	Total Nacional	De 16 a 19 años	2021T1	10,05
Ambos sexos	Total Nacional	De 16 a 19 años	2020T4	11,29
Ambos sexos	Total Nacional	De 16 a 19 años	2020T3	13,96
Ambos sexos	Total Nacional	De 16 a 19 años	2020T2	10,36
Ambos sexos	Total Nacional	De 16 a 19 años	2020T1	12,91
Ambos sexos	Total Nacional	De 16 a 19 años	2019T4	13,78
Ambos sexos	Total Nacional	De 16 a 19 años	2019T3	16,40
Ambos sexos	Total Nacional	De 16 a 19 años	2019T2	14,91
Ambos sexos	Total Nacional	De 16 a 19 años	2019T1	13,50
Ambos sexos	Total Nacional	De 16 a 19 años	2018T4	13,91
Ambos sexos	Total Nacional	De 16 a 19 años	2018T3	16,59
Ambos sexos	Total Nacional	De 16 a 19 años	2018T2	14,90
Ambos sexos	Total Nacional	De 16 a 19 años	2018T1	13,11
Ambos sexos	Total Nacional	De 16 a 19 años	2017T4	14,42
Ambos sexos	Total Nacional	De 16 a 19 años	2017T3	16,72
Ambos sexos	Total Nacional	De 16 a 19 años	2017T2	14,20
Ambos sexos	Total Nacional	De 16 a 19 años	2017T1	12,97
Ambos sexos	Total Nacional	De 16 a 19 años	2016T4	13,34
Ambos sexos	Total Nacional	De 16 a 19 años	2016T3	15,30
Ambos sexos	Total Nacional	De 16 a 19 años	2016T2	13,36
Ambos sexos	Total Nacional	De 16 a 19 años	2016T1	12,91
Ambos sexos	Total Nacional	De 16 a 19 años	2015T4	13,58
Ambos sexos	Total Nacional	De 16 a 19 años	2015T3	16,94
Ambos sexos	Total Nacional	De 16 a 19 años	2015T2	14,88
Ambos sexos	Total Nacional	De 16 a 19 años	2015T1	14,14
Ambos sexos	Total Nacional	De 16 a 19 años	2014T4	14,60
Ambos sexos	Total Nacional	De 16 a 19 años	2014T3	16,09
Ambos sexos	Total Nacional	De 16 a 19 años	2014T2	14,23
Ambos sexos	Total Nacional	De 16 a 19 años	2014T1	14,14
Ambos sexos	Total Nacional	De 16 a 19 años	2013T4	15,55
Ambos sexos	Total Nacional	De 16 a 19 años	2013T3	18,79
Ambos sexos	Total Nacional	De 16 a 19 años	2013T2	16,27
Ambos sexos	Total Nacional	De 16 a 19 años	2013T1	15,80
Ambos sexos	Total Nacional	De 16 a 19 años	2012T4	15,11
Ambos sexos	Total Nacional	De 16 a 19 años	2012T3	19,28
Ambos sexos	Total Nacional	De 16 a 19 años	2012T2	18,36
Ambos sexos	Total Nacional	De 16 a 19 años	2012T1	16,99
Ambos sexos	Total Nacional	De 16 a 19 años	2011T4	16,92
Ambos sexos	Total Nacional	De 16 a 19 años	2011T3	22,10
Ambos sexos	Total Nacional	De 16 a 19 años	2011T2	19,71
Ambos sexos	Total Nacional	De 16 a 19 años	2011T1	18,44
Ambos sexos	Total Nacional	De 16 a 19 años	2010T4	19,06
Ambos sexos	Total Nacional	De 16 a 19 años	2010T3	22,59
Ambos sexos	Total Nacional	De 16 a 19 años	2010T2	22,88
Ambos sexos	Total Nacional	De 16 a 19 años	2010T1	21,45
Ambos sexos	Total Nacional	De 16 a 19 años	2009T4	20,89
Ambos sexos	Total Nacional	De 16 a 19 años	2009T3	26,62
Ambos sexos	Total Nacional	De 16 a 19 años	2009T2	25,61
Ambos sexos	Total Nacional	De 16 a 19 años	2009T1	25,65
Ambos sexos	Total Nacional	De 16 a 19 años	2008T4	26,71
Ambos sexos	Total Nacional	De 16 a 19 años	2008T3	32,30
Ambos sexos	Total Nacional	De 16 a 19 años	2008T2	29,37
Ambos sexos	Total Nacional	De 16 a 19 años	2008T1	28,10
Ambos sexos	Total Nacional	De 16 a 19 años	2007T4	28,27
Ambos sexos	Total Nacional	De 16 a 19 años	2007T3	33,27
Ambos sexos	Total Nacional	De 16 a 19 años	2007T2	30,45
Ambos sexos	Total Nacional	De 16 a 19 años	2007T1	27,53
Ambos sexos	Total Nacional	De 16 a 19 años	2006T4	28,47
Ambos sexos	Total Nacional	De 16 a 19 años	2006T3	32,40
Ambos sexos	Total Nacional	De 16 a 19 años	2006T2	29,31
Ambos sexos	Total Nacional	De 16 a 19 años	2006T1	27,01
Ambos sexos	Total Nacional	De 16 a 19 años	2005T4	27,82
Ambos sexos	Total Nacional	De 16 a 19 años	2005T3	31,76
Ambos sexos	Total Nacional	De 16 a 19 años	2005T2	29,46
Ambos sexos	Total Nacional	De 16 a 19 años	2005T1	26,99
Ambos sexos	Total Nacional	De 16 a 19 años	2004T4	25,40
Ambos sexos	Total Nacional	De 16 a 19 años	2004T3	27,93
Ambos sexos	Total Nacional	De 16 a 19 años	2004T2	24,67
Ambos sexos	Total Nacional	De 16 a 19 años	2004T1	24,20
Ambos sexos	Total Nacional	De 16 a 19 años	2003T4	25,19
Ambos sexos	Total Nacional	De 16 a 19 años	2003T3	27,28
Ambos sexos	Total Nacional	De 16 a 19 años	2003T2	25,57
Ambos sexos	Total Nacional	De 16 a 19 años	2003T1	24,32
Ambos sexos	Total Nacional	De 16 a 19 años	2002T4	25,33
Ambos sexos	Total Nacional	De 16 a 19 años	2002T3	27,34
Ambos sexos	Total Nacional	De 16 a 19 años	2002T2	24,81
Ambos sexos	Total Nacional	De 16 a 19 años	2002T1	25,40
Ambos sexos	Total Nacional	De 20 a 24 años	2021T4	51,42
Ambos sexos	Total Nacional	De 20 a 24 años	2021T3	57,02
Ambos sexos	Total Nacional	De 20 a 24 años	2021T2	54,01
Ambos sexos	Total Nacional	De 20 a 24 años	2021T1	50,47
Ambos sexos	Total Nacional	De 20 a 24 años	2020T4	50,94
Ambos sexos	Total Nacional	De 20 a 24 años	2020T3	53,72
Ambos sexos	Total Nacional	De 20 a 24 años	2020T2	46,25
Ambos sexos	Total Nacional	De 20 a 24 años	2020T1	52,37
Ambos sexos	Total Nacional	De 20 a 24 años	2019T4	54,01
Ambos sexos	Total Nacional	De 20 a 24 años	2019T3	58,44
Ambos sexos	Total Nacional	De 20 a 24 años	2019T2	54,48
Ambos sexos	Total Nacional	De 20 a 24 años	2019T1	52,85
Ambos sexos	Total Nacional	De 20 a 24 años	2018T4	54,86
Ambos sexos	Total Nacional	De 20 a 24 años	2018T3	57,50
Ambos sexos	Total Nacional	De 20 a 24 años	2018T2	54,87
Ambos sexos	Total Nacional	De 20 a 24 años	2018T1	52,63
Ambos sexos	Total Nacional	De 20 a 24 años	2017T4	54,98
Ambos sexos	Total Nacional	De 20 a 24 años	2017T3	58,65
Ambos sexos	Total Nacional	De 20 a 24 años	2017T2	54,74
Ambos sexos	Total Nacional	De 20 a 24 años	2017T1	53,21
Ambos sexos	Total Nacional	De 20 a 24 años	2016T4	53,34
Ambos sexos	Total Nacional	De 20 a 24 años	2016T3	56,79
Ambos sexos	Total Nacional	De 20 a 24 años	2016T2	55,80
Ambos sexos	Total Nacional	De 20 a 24 años	2016T1	53,83
Ambos sexos	Total Nacional	De 20 a 24 años	2015T4	55,15
Ambos sexos	Total Nacional	De 20 a 24 años	2015T3	59,32
Ambos sexos	Total Nacional	De 20 a 24 años	2015T2	56,84
Ambos sexos	Total Nacional	De 20 a 24 años	2015T1	55,58
Ambos sexos	Total Nacional	De 20 a 24 años	2014T4	57,09
Ambos sexos	Total Nacional	De 20 a 24 años	2014T3	59,44
Ambos sexos	Total Nacional	De 20 a 24 años	2014T2	57,29
Ambos sexos	Total Nacional	De 20 a 24 años	2014T1	57,42
Ambos sexos	Total Nacional	De 20 a 24 años	2013T4	58,65
Ambos sexos	Total Nacional	De 20 a 24 años	2013T3	61,11
Ambos sexos	Total Nacional	De 20 a 24 años	2013T2	59,38
Ambos sexos	Total Nacional	De 20 a 24 años	2013T1	59,92
Ambos sexos	Total Nacional	De 20 a 24 años	2012T4	60,00
Ambos sexos	Total Nacional	De 20 a 24 años	2012T3	63,32
Ambos sexos	Total Nacional	De 20 a 24 años	2012T2	60,95
Ambos sexos	Total Nacional	De 20 a 24 años	2012T1	60,45
Ambos sexos	Total Nacional	De 20 a 24 años	2011T4	61,82
Ambos sexos	Total Nacional	De 20 a 24 años	2011T3	65,10
Ambos sexos	Total Nacional	De 20 a 24 años	2011T2	63,03
Ambos sexos	Total Nacional	De 20 a 24 años	2011T1	62,67
Ambos sexos	Total Nacional	De 20 a 24 años	2010T4	63,84
Ambos sexos	Total Nacional	De 20 a 24 años	2010T3	66,78
Ambos sexos	Total Nacional	De 20 a 24 años	2010T2	64,38
Ambos sexos	Total Nacional	De 20 a 24 años	2010T1	63,62
Ambos sexos	Total Nacional	De 20 a 24 años	2009T4	65,20
Ambos sexos	Total Nacional	De 20 a 24 años	2009T3	68,08
Ambos sexos	Total Nacional	De 20 a 24 años	2009T2	66,17
Ambos sexos	Total Nacional	De 20 a 24 años	2009T1	66,53
Ambos sexos	Total Nacional	De 20 a 24 años	2008T4	68,32
Ambos sexos	Total Nacional	De 20 a 24 años	2008T3	70,59
Ambos sexos	Total Nacional	De 20 a 24 años	2008T2	67,51
Ambos sexos	Total Nacional	De 20 a 24 años	2008T1	66,12
Ambos sexos	Total Nacional	De 20 a 24 años	2007T4	66,99
Ambos sexos	Total Nacional	De 20 a 24 años	2007T3	69,84
Ambos sexos	Total Nacional	De 20 a 24 años	2007T2	66,86
Ambos sexos	Total Nacional	De 20 a 24 años	2007T1	66,25
Ambos sexos	Total Nacional	De 20 a 24 años	2006T4	67,62
Ambos sexos	Total Nacional	De 20 a 24 años	2006T3	69,23
Ambos sexos	Total Nacional	De 20 a 24 años	2006T2	67,86
Ambos sexos	Total Nacional	De 20 a 24 años	2006T1	67,14
Ambos sexos	Total Nacional	De 20 a 24 años	2005T4	67,33
Ambos sexos	Total Nacional	De 20 a 24 años	2005T3	69,07
Ambos sexos	Total Nacional	De 20 a 24 años	2005T2	66,83
Ambos sexos	Total Nacional	De 20 a 24 años	2005T1	66,06
Ambos sexos	Total Nacional	De 20 a 24 años	2004T4	64,07
Ambos sexos	Total Nacional	De 20 a 24 años	2004T3	66,00
Ambos sexos	Total Nacional	De 20 a 24 años	2004T2	64,34
Ambos sexos	Total Nacional	De 20 a 24 años	2004T1	63,62
Ambos sexos	Total Nacional	De 20 a 24 años	2003T4	63,58
Ambos sexos	Total Nacional	De 20 a 24 años	2003T3	65,22
Ambos sexos	Total Nacional	De 20 a 24 años	2003T2	62,71
Ambos sexos	Total Nacional	De 20 a 24 años	2003T1	62,18
Ambos sexos	Total Nacional	De 20 a 24 años	2002T4	62,18
Ambos sexos	Total Nacional	De 20 a 24 años	2002T3	63,35
Ambos sexos	Total Nacional	De 20 a 24 años	2002T2	61,69
Ambos sexos	Total Nacional	De 20 a 24 años	2002T1	61,07
Ambos sexos	Total Nacional	De 25 a 54 años	2021T4	87,61
Ambos sexos	Total Nacional	De 25 a 54 años	2021T3	87,51
Ambos sexos	Total Nacional	De 25 a 54 años	2021T2	87,18
Ambos sexos	Total Nacional	De 25 a 54 años	2021T1	86,22
Ambos sexos	Total Nacional	De 25 a 54 años	2020T4	86,90
Ambos sexos	Total Nacional	De 25 a 54 años	2020T3	85,77
Ambos sexos	Total Nacional	De 25 a 54 años	2020T2	82,90
Ambos sexos	Total Nacional	De 25 a 54 años	2020T1	86,37
Ambos sexos	Total Nacional	De 25 a 54 años	2019T4	87,25
Ambos sexos	Total Nacional	De 25 a 54 años	2019T3	86,77
Ambos sexos	Total Nacional	De 25 a 54 años	2019T2	87,09
Ambos sexos	Total Nacional	De 25 a 54 años	2019T1	86,80
Ambos sexos	Total Nacional	De 25 a 54 años	2018T4	86,86
Ambos sexos	Total Nacional	De 25 a 54 años	2018T3	86,65
Ambos sexos	Total Nacional	De 25 a 54 años	2018T2	87,08
Ambos sexos	Total Nacional	De 25 a 54 años	2018T1	86,88
Ambos sexos	Total Nacional	De 25 a 54 años	2017T4	87,09
Ambos sexos	Total Nacional	De 25 a 54 años	2017T3	86,69
Ambos sexos	Total Nacional	De 25 a 54 años	2017T2	87,06
Ambos sexos	Total Nacional	De 25 a 54 años	2017T1	87,24
Ambos sexos	Total Nacional	De 25 a 54 años	2016T4	87,38
Ambos sexos	Total Nacional	De 25 a 54 años	2016T3	87,23
Ambos sexos	Total Nacional	De 25 a 54 años	2016T2	87,63
Ambos sexos	Total Nacional	De 25 a 54 años	2016T1	87,41
Ambos sexos	Total Nacional	De 25 a 54 años	2015T4	87,34
Ambos sexos	Total Nacional	De 25 a 54 años	2015T3	86,88
Ambos sexos	Total Nacional	De 25 a 54 años	2015T2	87,79
Ambos sexos	Total Nacional	De 25 a 54 años	2015T1	87,39
Ambos sexos	Total Nacional	De 25 a 54 años	2014T4	87,70
Ambos sexos	Total Nacional	De 25 a 54 años	2014T3	86,96
Ambos sexos	Total Nacional	De 25 a 54 años	2014T2	87,44
Ambos sexos	Total Nacional	De 25 a 54 años	2014T1	87,16
Ambos sexos	Total Nacional	De 25 a 54 años	2013T4	87,34
Ambos sexos	Total Nacional	De 25 a 54 años	2013T3	86,93
Ambos sexos	Total Nacional	De 25 a 54 años	2013T2	87,11
Ambos sexos	Total Nacional	De 25 a 54 años	2013T1	87,26
Ambos sexos	Total Nacional	De 25 a 54 años	2012T4	87,19
Ambos sexos	Total Nacional	De 25 a 54 años	2012T3	86,74
